mode,workload,seed,flow_id,expected_bytes,rx_payload_bytes,fct_ns
3,1,6,100,1000000000,249437000,-1
3,1,6,101,1000000000,248337000,-1
3,2,6,100,1000000000,169692000,-1
3,2,6,101,1000000000,166058000,-1
3,2,6,102,1000000000,168092000,-1
3,3,6,100,1000000000,13741000,-1
3,3,6,101,1000000000,125674000,-1
3,3,6,102,1000000000,124330000,-1
3,3,6,103,1000000000,124841000,-1
3,3,6,104,1000000000,1517000,-1
3,3,6,105,1000000000,1517000,-1
3,3,6,106,1000000000,1517000,-1
3,3,6,107,1000000000,1517000,-1
3,3,6,108,1000000000,1517000,-1
3,3,6,109,1000000000,150147000,-1
3,4,6,100,1000000000,981213000,-1
3,5,6,100,1000000000,428206000,-1
3,5,6,101,1000000000,63500000,-1
4,1,6,100,1000000000,249437000,-1
4,1,6,101,1000000000,248337000,-1
4,2,6,100,1000000000,169692000,-1
4,2,6,101,1000000000,166058000,-1
4,2,6,102,1000000000,168092000,-1
4,3,6,100,1000000000,15258000,-1
4,3,6,101,1000000000,125674000,-1
4,3,6,102,1000000000,4540000,-1
4,3,6,103,1000000000,124330000,-1
4,3,6,104,1000000000,124346000,-1
4,3,6,105,1000000000,1517000,-1
4,3,6,106,1000000000,1517000,-1
4,3,6,107,1000000000,1517000,-1
4,3,6,108,1000000000,1517000,-1
4,3,6,109,1000000000,146102000,-1
4,4,6,100,1000000000,981213000,-1
4,5,6,100,1000000000,428206000,-1
4,5,6,101,1000000000,63500000,-1
5,1,6,100,1000000000,249437000,-1
5,1,6,101,1000000000,248337000,-1
5,2,6,100,1000000000,169692000,-1
5,2,6,101,1000000000,166058000,-1
5,2,6,102,1000000000,168092000,-1
