mode,workload,seed,tx,rx,drops,max_queue
0,1,7,0,0,0,0
0,2,7,0,0,0,0
0,3,7,0,0,0,0
0,4,7,0,0,0,0
0,5,7,0,0,0,0
1,1,7,0,0,0,0
1,2,7,0,0,0,0
1,3,7,0,0,0,0
1,4,7,0,0,0,0
1,5,7,0,0,0,0
2,1,7,0,0,0,0
2,2,7,0,0,0,0
2,3,7,0,0,0,0
2,4,7,0,0,0,0
2,5,7,0,0,0,0
3,1,7,2957974,2957974,0,301
3,2,7,3951323,3951323,0,401
3,3,7,10904766,10904766,0,1101
3,4,7,3924852,3924852,0,101
3,5,7,2214624,2214624,0,301
4,1,7,2957974,2957974,0,301
4,2,7,3951323,3951323,0,401
4,3,7,10904766,10904766,0,1101
4,4,7,3924852,3924852,0,101
4,5,7,2214624,2214624,0,301
5,1,7,2957974,2957974,0,301
5,2,7,3951323,3951323,0,401
