mode,workload,seed,flow_id,expected_bytes,rx_payload_bytes,fct_ns
3,1,10,100,1000000000,249437000,-1
3,1,10,101,1000000000,248337000,-1
3,2,10,100,1000000000,169692000,-1
3,2,10,101,1000000000,166058000,-1
3,2,10,102,1000000000,168092000,-1
3,3,10,100,1000000000,13741000,-1
3,3,10,101,1000000000,125674000,-1
3,3,10,102,1000000000,124330000,-1
3,3,10,103,1000000000,124841000,-1
3,3,10,104,1000000000,1517000,-1
3,3,10,105,1000000000,1517000,-1
3,3,10,106,1000000000,1517000,-1
3,3,10,107,1000000000,1517000,-1
3,3,10,108,1000000000,1517000,-1
3,3,10,109,1000000000,150147000,-1
3,4,10,100,1000000000,981213000,-1
3,5,10,100,1000000000,428206000,-1
3,5,10,101,1000000000,63500000,-1
4,1,10,100,1000000000,249437000,-1
4,1,10,101,1000000000,248337000,-1
4,2,10,100,1000000000,169692000,-1
4,2,10,101,1000000000,166058000,-1
4,2,10,102,1000000000,168092000,-1
4,3,10,100,1000000000,15258000,-1
4,3,10,101,1000000000,125674000,-1
4,3,10,102,1000000000,4540000,-1
4,3,10,103,1000000000,124330000,-1
4,3,10,104,1000000000,124346000,-1
4,3,10,105,1000000000,1517000,-1
4,3,10,106,1000000000,1517000,-1
4,3,10,107,1000000000,1517000,-1
4,3,10,108,1000000000,1517000,-1
4,3,10,109,1000000000,146102000,-1
4,4,10,100,1000000000,981213000,-1
4,5,10,100,1000000000,428206000,-1
4,5,10,101,1000000000,63500000,-1
5,1,10,100,1000000000,249437000,-1
5,1,10,101,1000000000,248337000,-1
5,2,10,100,1000000000,169692000,-1
5,2,10,101,1000000000,166058000,-1
5,2,10,102,1000000000,168092000,-1
